item1,item2,count
0,1,341.0
0,2,5600.0
0,3,625.0
0,4,280.0
0,5,432.0
0,6,161.0
0,7,116.0
0,8,1612.0
0,9,92.0
0,10,1492.0
0,12,5.0
0,13,2.0
0,14,1123.0
0,15,617.0
0,16,2143.0
0,17,404.0
0,18,1536.0
0,19,1696.0
0,20,565.0
0,21,83.0
0,22,1235.0
0,23,711.0
0,25,4.0
0,26,99.0
0,27,23.0
0,28,162.0
0,29,27.0
0,30,4.0
0,31,6.0
0,33,293.0
0,34,643.0
0,35,73.0
0,36,4.0
0,37,2634.0
0,38,483.0
0,39,187.0
0,40,385.0
0,41,73.0
0,42,31.0
0,43,171.0
0,44,248.0
0,45,4.0
0,46,124.0
0,48,28.0
0,49,2.0
0,51,22.0
0,52,75.0
0,53,21.0
0,57,158.0
0,58,77.0
0,60,52.0
0,61,381.0
0,62,1120.0
0,63,216.0
0,64,44.0
0,74,1728.0
0,75,2484.0
0,76,37.0
0,77,23.0
0,78,554.0
0,81,3293.0
0,82,2544.0
0,83,40.0
0,84,1203.0
0,85,79.0
0,86,655.0
0,87,108.0
0,88,853.0
0,89,1569.0
0,90,483.0
0,91,646.0
0,92,1203.0
0,93,1971.0
0,94,1688.0
0,95,3211.0
0,96,924.0
0,97,542.0
0,98,1086.0
0,99,35.0
0,100,1021.0
0,101,4122.0
0,102,991.0
0,103,2722.0
0,104,2294.0
0,105,1942.0
0,106,2302.0
0,107,444.0
0,108,1578.0
0,109,723.0
0,110,225.0
0,111,1361.0
0,112,2214.0
0,113,332.0
0,114,793.0
0,115,622.0
0,116,2173.0
0,117,2095.0
0,118,7.0
0,119,2258.0
0,120,1324.0
0,121,279.0
0,122,2013.0
0,123,1742.0
0,124,838.0
0,125,2684.0
0,126,2849.0
0,127,1094.0
0,128,271.0
0,129,678.0
0,130,2833.0
0,131,615.0
0,132,89.0
0,137,76.0
0,138,6.0
0,139,17.0
0,140,5.0
0,142,3.0
0,150,24.0
0,152,5.0
0,153,1.0
0,156,95.0
0,158,7.0
0,159,2.0
0,161,3.0
0,162,2.0
0,165,700.0
0,166,246.0
0,167,6.0
0,168,5.0
0,171,17.0
0,174,2162.0
0,175,3.0
0,177,49.0
0,178,123.0
0,179,59.0
0,180,28.0
0,181,7.0
0,182,25.0
0,183,2499.0
0,184,1768.0
0,185,895.0
0,186,1380.0
0,187,1379.0
0,188,1339.0
0,189,412.0
0,190,531.0
0,191,492.0
0,192,33.0
0,194,8.0
0,195,115.0
0,196,190.0
0,197,174.0
0,198,86.0
0,199,70.0
0,201,35.0
0,206,6.0
0,208,178.0
0,209,5.0
0,212,1913.0
0,213,2662.0
0,214,957.0
0,215,31.0
0,216,3.0
0,217,4.0
0,218,2360.0
0,241,8.0
0,247,44.0
0,248,48.0
0,250,10.0
0,254,2.0
0,265,42.0
0,266,6.0
0,268,66.0
0,269,69.0
0,272,48.0
0,274,151.0
0,279,23.0
0,280,65.0
0,281,2.0
0,283,32.0
0,288,64.0
0,291,51.0
0,295,3.0
0,298,5.0
0,306,230.0
0,307,89.0
0,308,229.0
0,309,34.0
0,311,4.0
0,314,78.0
0,315,91.0
0,316,22.0
0,318,4.0
0,321,27.0
0,324,28.0
0,326,74.0
0,327,28.0
0,328,29.0
0,329,3.0
0,330,226.0
0,331,4.0
0,334,694.0
0,338,218.0
0,342,15.0
0,352,13.0
0,353,259.0
0,356,1.0
0,358,2.0
0,365,1.0
0,367,18.0
0,375,4.0
0,378,1.0
0,383,10.0
0,385,9.0
0,388,26.0
0,389,14.0
0,393,128.0
0,394,3.0
0,420,297.0
0,426,20.0
0,429,84.0
0,431,158.0
0,432,584.0
0,436,61.0
0,457,699.0
0,458,876.0
0,459,1305.0
0,460,1422.0
0,461,1638.0
0,462,29.0
0,463,4.0
0,465,1214.0
0,473,7.0
0,474,19.0
0,476,7.0
0,478,43.0
0,480,21.0
0,483,5.0
0,485,32.0
0,486,34.0
0,487,3.0
0,488,1.0
0,490,148.0
0,492,2.0
0,493,48.0
0,496,18.0
0,497,8.0
0,500,69.0
0,504,37.0
0,505,9.0
0,506,23.0
0,507,17.0
0,508,53.0
0,509,2.0
0,510,189.0
1,2,464.0
1,3,91.0
1,4,49.0
1,5,83.0
1,6,24.0
1,7,29.0
1,8,287.0
1,9,23.0
1,10,275.0
1,12,7.0
1,13,2.0
1,14,210.0
1,15,120.0
1,16,382.0
1,17,60.0
1,18,322.0
1,19,315.0
1,20,109.0
1,21,27.0
1,22,230.0
1,23,174.0
1,25,1.0
1,26,27.0
1,27,4.0
1,28,36.0
1,29,5.0
1,30,1.0
1,31,3.0
1,33,80.0
1,34,151.0
1,35,23.0
1,36,4.0
1,37,493.0
1,38,98.0
1,39,35.0
1,40,94.0
1,41,13.0
1,42,5.0
1,43,36.0
1,44,53.0
1,46,19.0
1,48,15.0
1,49,1.0
1,51,5.0
1,52,17.0
1,53,5.0
1,57,30.0
1,58,23.0
1,60,14.0
1,61,59.0
1,62,223.0
1,63,36.0
1,64,5.0
1,74,356.0
1,75,496.0
1,76,11.0
1,77,5.0
1,78,105.0
1,81,633.0
1,82,548.0
1,83,13.0
1,84,247.0
1,85,18.0
1,86,140.0
1,87,22.0
1,88,154.0
1,89,348.0
1,90,118.0
1,91,140.0
1,92,284.0
1,93,396.0
1,94,317.0
1,95,648.0
1,96,175.0
1,97,139.0
1,98,253.0
1,99,9.0
1,100,240.0
1,101,843.0
1,102,222.0
1,103,547.0
1,104,455.0
1,105,363.0
1,106,455.0
1,107,91.0
1,108,329.0
1,109,155.0
1,110,45.0
1,111,300.0
1,112,474.0
1,113,79.0
1,114,173.0
1,115,156.0
1,116,507.0
1,117,462.0
1,118,5.0
1,119,466.0
1,120,249.0
1,121,53.0
1,122,388.0
1,123,322.0
1,124,193.0
1,125,509.0
1,126,588.0
1,127,244.0
1,128,59.0
1,129,128.0
1,130,649.0
1,131,140.0
1,132,16.0
1,137,9.0
1,138,1.0
1,139,8.0
1,140,1.0
1,150,2.0
1,152,1.0
1,156,15.0
1,158,1.0
1,159,1.0
1,162,1.0
1,165,165.0
1,166,55.0
1,167,2.0
1,168,2.0
1,171,2.0
1,174,481.0
1,175,1.0
1,177,6.0
1,178,13.0
1,179,11.0
1,180,10.0
1,181,1.0
1,182,6.0
1,183,394.0
1,184,301.0
1,185,170.0
1,186,265.0
1,187,265.0
1,188,223.0
1,189,85.0
1,190,108.0
1,191,94.0
1,192,14.0
1,194,1.0
1,195,17.0
1,196,34.0
1,197,40.0
1,198,8.0
1,199,21.0
1,201,7.0
1,206,1.0
1,208,39.0
1,209,1.0
1,212,385.0
1,213,540.0
1,214,169.0
1,215,12.0
1,218,424.0
1,247,12.0
1,248,10.0
1,250,4.0
1,265,18.0
1,266,1.0
1,268,9.0
1,269,21.0
1,272,14.0
1,274,34.0
1,279,2.0
1,280,8.0
1,283,12.0
1,288,22.0
1,291,7.0
1,295,1.0
1,298,1.0
1,306,45.0
1,307,23.0
1,308,44.0
1,309,3.0
1,311,3.0
1,314,18.0
1,315,14.0
1,316,3.0
1,321,5.0
1,324,11.0
1,326,14.0
1,327,4.0
1,328,6.0
1,330,43.0
1,331,2.0
1,334,147.0
1,338,39.0
1,342,3.0
1,353,66.0
1,365,1.0
1,367,2.0
1,373,1.0
1,378,2.0
1,383,2.0
1,385,2.0
1,388,5.0
1,389,2.0
1,393,39.0
1,394,2.0
1,420,60.0
1,426,15.0
1,429,38.0
1,431,39.0
1,432,145.0
1,436,31.0
1,457,173.0
1,458,188.0
1,459,330.0
1,460,367.0
1,461,413.0
1,462,1.0
1,465,275.0
1,474,5.0
1,477,1.0
1,478,9.0
1,480,7.0
1,483,1.0
1,485,8.0
1,486,9.0
1,490,29.0
1,492,1.0
1,493,6.0
1,496,2.0
1,497,7.0
1,500,17.0
1,504,14.0
1,505,6.0
1,506,3.0
1,507,3.0
1,508,13.0
1,510,28.0
2,3,958.0
2,4,401.0
2,5,721.0
2,6,202.0
2,7,154.0
2,8,2481.0
2,9,140.0
2,10,1986.0
2,12,4.0
2,14,1643.0
2,15,894.0
2,16,3376.0
2,17,634.0
2,18,2309.0
2,19,2624.0
2,20,838.0
2,21,125.0
2,22,1720.0
2,23,1036.0
2,25,6.0
2,26,148.0
2,27,28.0
2,28,200.0
2,29,40.0
2,30,7.0
2,31,12.0
2,33,434.0
2,34,946.0
2,35,111.0
2,36,11.0
2,37,3954.0
2,38,751.0
2,39,282.0
2,40,579.0
2,41,100.0
2,42,60.0
2,43,260.0
2,44,317.0
2,45,6.0
2,46,182.0
2,48,46.0
2,49,2.0
2,51,21.0
2,52,104.0
2,53,31.0
2,57,273.0
2,58,118.0
2,60,65.0
2,61,555.0
2,62,1673.0
2,63,353.0
2,64,54.0
2,74,2630.0
2,75,3627.0
2,76,44.0
2,77,40.0
2,78,826.0
2,81,4933.0
2,82,3919.0
2,83,56.0
2,84,1783.0
2,85,102.0
2,86,940.0
2,87,167.0
2,88,1281.0
2,89,2316.0
2,90,720.0
2,91,1048.0
2,92,1857.0
2,93,3034.0
2,94,2538.0
2,95,4847.0
2,96,1412.0
2,97,809.0
2,98,1699.0
2,99,76.0
2,100,1558.0
2,101,6218.0
2,102,1532.0
2,103,4207.0
2,104,3593.0
2,105,2962.0
2,106,3567.0
2,107,693.0
2,108,2395.0
2,109,1066.0
2,110,368.0
2,111,2021.0
2,112,3423.0
2,113,500.0
2,114,1238.0
2,115,929.0
2,116,3405.0
2,117,3258.0
2,118,14.0
2,119,3499.0
2,120,1906.0
2,121,438.0
2,122,3112.0
2,123,2745.0
2,124,1286.0
2,125,4097.0
2,126,4282.0
2,127,1718.0
2,128,428.0
2,129,956.0
2,130,4467.0
2,131,902.0
2,132,149.0
2,137,104.0
2,138,12.0
2,139,24.0
2,140,8.0
2,142,6.0
2,150,38.0
2,152,9.0
2,156,128.0
2,157,2.0
2,158,7.0
2,159,8.0
2,161,6.0
2,162,3.0
2,165,1079.0
2,166,357.0
2,167,9.0
2,168,8.0
2,171,16.0
2,174,3335.0
2,175,10.0
2,177,90.0
2,178,177.0
2,179,92.0
2,180,48.0
2,181,9.0
2,182,35.0
2,183,4068.0
2,184,2898.0
2,185,1313.0
2,186,2084.0
2,187,2055.0
2,188,2005.0
2,189,601.0
2,190,738.0
2,191,761.0
2,192,51.0
2,194,9.0
2,195,145.0
2,196,251.0
2,197,184.0
2,198,133.0
2,199,107.0
2,201,53.0
2,206,12.0
2,208,270.0
2,209,8.0
2,212,2943.0
2,213,4093.0
2,214,1551.0
2,215,46.0
2,216,4.0
2,217,3.0
2,218,3445.0
2,241,15.0
2,247,65.0
2,248,75.0
2,250,13.0
2,254,3.0
2,256,2.0
2,265,68.0
2,266,11.0
2,268,101.0
2,269,94.0
2,272,61.0
2,274,214.0
2,279,39.0
2,280,77.0
2,281,5.0
2,283,38.0
2,288,77.0
2,291,64.0
2,295,3.0
2,298,6.0
2,306,322.0
2,307,125.0
2,308,360.0
2,309,50.0
2,311,8.0
2,314,122.0
2,315,124.0
2,316,42.0
2,318,7.0
2,320,1.0
2,321,42.0
2,324,32.0
2,326,113.0
2,327,36.0
2,328,50.0
2,329,3.0
2,330,347.0
2,331,7.0
2,334,1017.0
2,338,300.0
2,342,16.0
2,352,13.0
2,353,391.0
2,358,3.0
2,365,4.0
2,367,36.0
2,373,2.0
2,375,5.0
2,378,2.0
2,383,12.0
2,385,10.0
2,388,41.0
2,389,24.0
2,393,175.0
2,394,7.0
2,420,444.0
2,426,30.0
2,429,158.0
2,431,255.0
2,432,950.0
2,436,115.0
2,457,1022.0
2,458,1279.0
2,459,1990.0
2,460,2165.0
2,461,2464.0
2,462,38.0
2,463,3.0
2,465,1806.0
2,473,6.0
2,474,22.0
2,476,11.0
2,477,1.0
2,478,55.0
2,480,37.0
2,483,7.0
2,485,45.0
2,486,40.0
2,487,4.0
2,488,5.0
2,490,205.0
2,492,3.0
2,493,65.0
2,496,28.0
2,497,21.0
2,500,100.0
2,504,69.0
2,505,14.0
2,506,30.0
2,507,22.0
2,508,65.0
2,509,3.0
2,510,304.0
3,4,246.0
3,5,295.0
3,6,87.0
3,7,49.0
3,8,748.0
3,9,40.0
3,10,557.0
3,12,3.0
3,13,1.0
3,14,482.0
3,15,287.0
3,16,899.0
3,17,267.0
3,18,629.0
3,19,774.0
3,20,349.0
3,21,30.0
3,22,465.0
3,23,282.0
3,25,2.0
3,26,46.0
3,27,11.0
3,28,74.0
3,29,11.0
3,30,3.0
3,31,4.0
3,33,117.0
3,34,265.0
3,35,29.0
3,36,3.0
3,37,1007.0
3,38,204.0
3,39,116.0
3,40,150.0
3,41,24.0
3,42,9.0
3,43,63.0
3,44,94.0
3,45,5.0
3,46,51.0
3,48,12.0
3,51,8.0
3,52,31.0
3,53,13.0
3,57,83.0
3,58,39.0
3,60,19.0
3,61,182.0
3,62,552.0
3,63,117.0
3,64,12.0
3,74,621.0
3,75,935.0
3,76,17.0
3,77,17.0
3,78,234.0
3,81,1292.0
3,82,993.0
3,83,16.0
3,84,504.0
