Nombre,Shampoo,Papel Higiénico,Servilletas,Toallas de papel,Dulces,Limpiadores del hogar,Quesos,Yogurt,Mantequilla,Postres,Verduras congeladas,Café,Té,Snacks chips,Galletas dulces,Galletas saladas,Harina,Frutas en conserva,Leche,Manjar y mermeladas,Pasta,Arroz,Salsas ,Mariscos y pescados en conserva,Especias,Semillas,Sopas,Sustitutos del azúcar,Carne de vacuno,Carne de aves,Jugos en polvo,Cecinas envasadas,Quesos envasados,Carne de cerdo,Cecinas,Jabon,Mayonesas y dressings,Aceites,Barras de cereal,"Paltas, uvas y fruta seca","Naranjas, limones y sandias","Manzanas, duraznos y peras",Tomates y cebollas,Lechugas y champiñones,Papas y zapallos
Shampoo,0.012342078681848723,0.0030479556747662947,0.0020737608389831824,0.0023612374679470908,0.0009287024312421707,0.0035719150322940595,0.002406206725794364,0.0045457725628158425,0.003567514663399561,0.0016043136338235267,0.002087315628367135,0.001668066590969494,0.0027351146410183984,0.00232278454396358,0.004496510652071898,0.0012724527997588387,0.001523642372963666,0.0013965697908680222,0.00579474267537206,0.0013736551838940598,0.003812516540422253,0.003240845356858957,0.002666325159766305,0.0032277335771377378,0.0021536365227058933,0.0009588866324570027,0.001812587487115237,0.003093113641871789,0.0031279501298538816,0.002976974800466521,0.0017111943083356115,0.0037784450444323303,0.003953527668696636,0.0009697954745545756,0.003076474345278205,0.003650725595987964,0.002662262517759929,0.0037078026393514607,0.003122806912049373,0.0009197648144781489,0.0011538106530663093,0.0018076443789373363,0.0019765237319877478,0.002249396985953168,0.0016349706708506265
Papel Higiénico,0.0030479556747662947,0.021061424231254757,0.004596947111650977,0.0063091871033236465,0.0014196163722953287,0.005890100943016826,0.004353723876597828,0.007653190960703537,0.006163777686731405,0.002572428035451536,0.0036092794931250603,0.00281163039135095,0.0044837745089989145,0.004041746904136376,0.007355110996850836,0.0022334079466566547,0.002441412507315604,0.0021432711918304213,0.010080772171606323,0.0023401701227386412,0.0062044765585494155,0.0052117759117407386,0.0042214556189287475,0.0052003083789929115,0.0033817174985598607,0.0018255535444881832,0.002671318501648059,0.0050079720205666025,0.005867592848448093,0.0053171156137652885,0.0026857620001160174,0.00661106536256499,0.007362977918414558,0.0016850866420084815,0.0056651516338507395,0.003789529984409491,0.0040986503729876994,0.006138458700202631,0.004868969952344273,0.0021020991174640295,0.002697759921328607,0.003931363268356833,0.004462666011982865,0.004783317594881156,0.003567232631426936
Servilletas,0.0020737608389831824,0.004596947111650977,0.013827525385534436,0.00456467583936422,0.001098021575019998,0.0052514207517976854,0.0032676234106269555,0.0053632457797593396,0.004865443417987414,0.0017927553398816246,0.0028247681464431736,0.002259846542187183,0.0037835529293117572,0.0030415459290840173,0.0054252290693785924,0.0019524341290693891,0.0022516602890138887,0.0018245626411488864,0.007407510500569174,0.0018591793796040766,0.0048681285700318605,0.004263147392325948,0.003477179427903383,0.004046835499524628,0.0030343552338685047,0.0015842897917109214,0.0023407378303090588,0.0042446607583597066,0.00420848593057074,0.004024241023705332,0.002052035339371225,0.00493288959511664,0.00551315817636473,0.00132487078727965,0.0041780967662575115,0.0027579758295168547,0.003713359216320451,0.005088388891580177,0.003562271837574543,0.001334706851861603,0.0017567829841559726,0.00258068570226758,0.0030696731465491922,0.003400247331964251,0.0023744868547668488
Toallas de papel,0.0023612374679470908,0.0063091871033236465,0.00456467583936422,0.016495065764146367,0.001198241808295728,0.005594875455754232,0.0034679526478419253,0.006210245355638233,0.005150755560315352,0.0021376622030409324,0.0030315834597678106,0.0024481666992525373,0.0038733184186999885,0.003317762608069688,0.006158001018251772,0.0020136339472784,0.0023066787113610373,0.001951761550352389,0.008342147978635923,0.001968489098602116,0.005121340653875644,0.004537043508772327,0.0034969803371615025,0.00441741368996069,0.003188727572697039,0.0015755103349709813,0.002398571973083225,0.0043859145492046465,0.004909676771796671,0.004347971034620855,0.002072668347980196,0.005503724123687545,0.006127912886323503,0.001541816604639047,0.00451519692093143,0.003176070214767816,0.0038522632015123687,0.005504268608740803,0.004097263627693426,0.0016827012139805596,0.0022290772613432572,0.0031992573711814355,0.0037349468974825686,0.004110734409526322,0.002929953267734993
Dulces,0.0009287024312421707,0.0014196163722953287,0.001098021575019998,0.001198241808295728,0.011246010986570295,0.0015294941540493865,0.0019294415041765031,0.0031194993702414785,0.002117181351376308,0.0012167603839550402,0.0011953362345937374,0.00100461725530337,0.0014371108799746885,0.0029170498675479923,0.005364820862216111,0.001268175083810441,0.0009097551312648774,0.0009532472392931856,0.004170090235919485,0.001204445118029157,0.0018894003436499532,0.0015289618835888925,0.0012487828485697205,0.0016216050453550426,0.001161177571645252,0.0011354883881049109,0.0010156203585747516,0.0016572768048979938,0.002185205483977916,0.001848444253066608,0.0010103778249398892,0.0028473332613818602,0.002964060636949941,0.0006566670805384656,0.002472803010306441,0.001013551008742613,0.0016202006378032911,0.001824401063021864,0.0020919453872866333,0.0008257297701585304,0.0009341002707496186,0.001546127839620182,0.0015813002037320626,0.0016907229563026475,0.0011907440176975588
Limpiadores del hogar,0.0035719150322940595,0.005890100943016826,0.0052514207517976854,0.005594875455754232,0.0015294941540493865,0.021889877809477855,0.004309467397195623,0.008230994727485624,0.0069498781288430365,0.0028382887545095646,0.003986438042756434,0.0032549095889435114,0.0053060320950366075,0.0038612892439331367,0.007957133553500162,0.002330249506490445,0.003171216292438973,0.002597075604503611,0.010915909638119276,0.0026230350485772678,0.007102715476760673,0.0062594918640070454,0.004889594306576566,0.0060177457859139204,0.004367704175738088,0.001868744780134213,0.003473365203699509,0.006035711777246765,0.005973225263101943,0.005543155191358699,0.002942065923675859,0.006783159634774603,0.007644064362012123,0.0017227711067394885,0.005667346325848708,0.004520382103876407,0.004827256553334867,0.007326633313725327,0.005407231691446739,0.0018814240766449593,0.0025465709553838807,0.003770476702198275,0.004237885636235948,0.004812695919720089,0.003504972265782577
Quesos,0.002406206725794364,0.004353723876597828,0.0032676234106269555,0.0034679526478419253,0.0019294415041765031,0.004309467397195623,0.03986968437096429,0.010418959440830669,0.008132134399178625,0.003328960849096243,0.004086704858533547,0.002885654203200632,0.0039580520778437255,0.007068559338240256,0.010955233601782513,0.003906459073476504,0.002807379074137029,0.0022884971773152285,0.0132634026318437,0.0023609065114570745,0.00603413582248352,0.00445731543598243,0.004608945607970176,0.005308430554207066,0.00347174842840522,0.003039114257097152,0.0026095740916627307,0.004759181027563985,0.008297920138577766,0.008062543873984009,0.003223433515763175,0.009478256731187434,0.009032531818904992,0.002778993339451108,0.030311521893874493,0.002603882742768797,0.005134527013175925,0.0057501470865760785,0.005607832119703037,0.0026011588156725804,0.0029929897101689303,0.005010266957182838,0.00629944361408945,0.006792048763202664,0.004079183403036312
Yogurt,0.0045457725628158425,0.007653190960703537,0.0053632457797593396,0.006210245355638233,0.0031194993702414785,0.008230994727485624,0.010418959440830669,0.05029454811737357,0.013370836976206384,0.008941796716112144,0.00732978459208095,0.004674174290575485,0.007064603440954134,0.009101514268938541,0.018580437159884517,0.004949647946655449,0.0043708416965165435,0.0044200071484009505,0.023309535549779596,0.004672251687166932,0.010750212854215686,0.008590694566975369,0.007247793079112075,0.010086066423473991,0.005531289267284411,0.004021402347677997,0.004641506398042014,0.007942962517905428,0.011788284009176305,0.01107255567895345,0.00594665255012862,0.013380657356096752,0.015898473064197585,0.0031353226902198555,0.013736027697686474,0.0049887061888948345,0.007311574834994219,0.009852753409960138,0.01358733616962564,0.004385224372278896,0.005311070562761852,0.009760081833632908,0.00912113848780288,0.010081415769649176,0.006932854025821678
Mantequilla,0.003567514663399561,0.006163777686731405,0.004865443417987414,0.005150755560315352,0.002117181351376308,0.0069498781288430365,0.008132134399178625,0.013370836976206384,0.032670235651669946,0.0046215971352301715,0.005467228051952985,0.004121327248486087,0.0064270715202087506,0.006074216547873123,0.011620053369531164,0.003446711505498269,0.0049549327267132785,0.003283717338974894,0.016377500581768057,0.0038088507453315546,0.008867974663095444,0.007580860855558112,0.006183290964366215,0.007521921366972255,0.005006426736183314,0.002672966932607504,0.004273506485463813,0.008002362439758147,0.00864352692591545,0.00817437793825658,0.0044799994405332316,0.010850333599105606,0.012007125369837574,0.0026372415629024506,0.01040419723104562,0.004123870794190128,0.006314907371143662,0.009198483259110577,0.007140570125872199,0.002716086795895455,0.003444851217098426,0.005434837721339185,0.0059422680809850135,0.006833269513630186,0.0049029309597220325
Postres,0.0016043136338235267,0.002572428035451536,0.0017927553398816246,0.0021376622030409324,0.0012167603839550402,0.0028382887545095646,0.003328960849096243,0.008941796716112144,0.0046215971352301715,0.016374572653252546,0.002644016465980671,0.0014751149814487355,0.002359263760395077,0.003305652336384405,0.006677218604829294,0.0016505426323077095,0.0013478057589531227,0.0017208275038639194,0.007604987546113427,0.0015101954482200902,0.0037463536747302587,0.002804309297296528,0.00244603095760857,0.0031732464451162635,0.00186591480160922,0.0013167547877835546,0.001722666091839284,0.002625602457116005,0.003993601862669529,0.0036464470568808188,0.001989790221512772,0.004661636790407367,0.005225635916284853,0.0010572359035644022,0.004396636674478393,0.0017372060942317789,0.002564099824407303,0.003236657531087373,0.003968967231064693,0.0013624943300480348,0.001679394284985379,0.0028941830843536354,0.002832835623170269,0.003151931284028834,0.002259471518540753
Verduras congeladas,0.002087315628367135,0.0036092794931250603,0.0028247681464431736,0.0030315834597678106,0.0011953362345937374,0.003986438042756434,0.004086704858533547,0.00732978459208095,0.005467228051952985,0.002644016465980671,0.01864120977530552,0.002173184456453802,0.003295885099217105,0.0038333519604714585,0.0062525965223967405,0.002358283183737772,0.002208312042250573,0.002255877618331964,0.008542135478602218,0.0019786139763866622,0.005362916902977644,0.004692793138877411,0.0038734792440512735,0.004676076407472094,0.003166755697317856,0.0018108145537830695,0.0028382537459700125,0.003782246204758508,0.0069195862934703775,0.006447487779246403,0.0024980501919509078,0.006499039842244247,0.006846233398237161,0.001982445289951392,0.005123015371847997,0.0024880260726066364,0.004172875983697526,0.005133735465997135,0.004303303717656349,0.002128559492324505,0.002645789624967843,0.003792011961429915,0.005470316987637285,0.005955375080746592,0.0042269067620817865
Café,0.001668066590969494,0.00281163039135095,0.002259846542187183,0.0024481666992525373,0.00100461725530337,0.0032549095889435114,0.002885654203200632,0.004674174290575485,0.004121327248486087,0.0014751149814487355,0.002173184456453802,0.0140387290425837,0.003958970029820802,0.0025051087385283602,0.005099889943336993,0.001581046431091498,0.00179145997629413,0.0014479572481967892,0.006990408282939378,0.001626050790249194,0.003811093719481132,0.003340091137894228,0.002702746434788612,0.0033671206256597865,0.002331796001742214,0.0012342515593141766,0.0019460268480127312,0.004140185737943928,0.003476165156057547,0.003210755547313129,0.0015697336671288684,0.00438328156106353,0.004901999714348892,0.0011945742546351052,0.0037482925816284813,0.0019930228860576293,0.002910692904029029,0.003919354520295101,0.0031344276367192467,0.0013105238781324269,0.001521315786190558,0.002280033520856936,0.0025126348252740875,0.002856057443413835,0.001993285506614416
