Nombre,Shampoo,Papel Higiénico,Servilletas,Toallas de papel,Dulces,Limpiadores del hogar,Quesos,Yogurt,Mantequilla,Postres,Verduras congeladas,Café,Té,Snacks chips,Galletas dulces,Galletas saladas,Harina,Frutas en conserva,Leche,Manjar y mermeladas,Pasta,Arroz,Salsas ,Mariscos y pescados en conserva,Especias,Semillas,Sopas,Sustitutos del azúcar,Carne de vacuno,Carne de aves,Jugos en polvo,Cecinas envasadas,Quesos envasados,Carne de cerdo,Cecinas,Jabon,Mayonesas y dressings,Aceites,Barras de cereal,"Paltas, uvas y fruta seca","Naranjas, limones y sandias","Manzanas, duraznos y peras",Tomates y cebollas,Lechugas y champiñones,Papas y zapallos
Shampoo,0.0,1.1629213977086168,1.1694319011342902,1.1603580685349577,1.0833371156888658,1.1887933268350466,1.0586382618374348,1.0945959496660802,1.117078188937212,1.1021127679231448,1.119675917251627,1.1280679951154449,1.1617515575552144,1.055505381497302,1.0761018370523203,1.0675459614047529,1.1413787603361418,1.1357419238596176,1.0906011419696933,1.1277966105486288,1.1635885772705494,1.1896987651452244,1.1795695522508192,1.1476120680901756,1.1544266825574423,1.0575378906933774,1.1720156003694593,1.1549575237392589,1.0680888911825472,1.0794168271086264,1.140423960044647,1.0741968837091194,1.0754448089805078,1.0634393087166139,1.0578353004272714,1.3921958520887368,1.1198363005330512,1.1620680540300938,1.1265965301353729,1.0521501552071286,1.0551211376443048,1.0590554698960724,1.051044061882444,1.0595655044667551,1.0642903373735737
Papel Higiénico,1.1580240485974542,0.0,1.480083135026481,1.6006222266685637,1.1319518841438725,1.3542904995447749,1.1122545667682986,1.1701903388209098,1.2214331902176625,1.173712663426513,1.2270399416053956,1.2365568776102982,1.2951863004808883,1.1010571224745138,1.130361556617446,1.1253950955502572,1.246745599848136,1.2231519111213078,1.1693293558614957,1.2393071341813182,1.2959914710887883,1.3438996059299306,1.3163844523755015,1.2605982384704195,1.2646836361388158,1.1171413784621649,1.2738044119953975,1.2767605413956922,1.137263423403905,1.1520365364264855,1.2383808161747107,1.1379115271067848,1.1516547732863276,1.1159635121472748,1.1130653315396228,1.4052972868849323,1.1958896620416717,1.2998131287133436,1.2112098557010738,1.1323624951388476,1.1442708788938791,1.141829868915618,1.127520625939148,1.1391965652312015,1.1557714996935184
Servilletas,1.1685856355887938,1.485266890645322,0.0,1.3738867937379178,1.1005192541452429,1.3082703050043205,1.0830500291324638,1.1140014344462557,1.1688201527074098,1.1154800441802846,1.1710695790265235,1.183777715475774,1.2410308276746531,1.0752961437390876,1.0939278329183653,1.1106469522843307,1.2273642750551588,1.186650569527839,1.1200358064264606,1.1831526599687932,1.2202303051068428,1.2673479585430345,1.2494704240424894,1.1934475222265055,1.2349438579962428,1.1027221112070265,1.2354655666898748,1.227998078452951,1.0954765106266804,1.1121989989362504,1.173914650830597,1.1004942051484368,1.1105093389023986,1.0905212639027655,1.0819152715619065,1.266781276929416,1.1777859399288115,1.2390724564558884,1.1472069346122808,1.079863228694501,1.0893367787119526,1.0887277070600498,1.0846920861679403,1.0957465618024729,1.0986205439499777
Toallas de papel,1.158017948537561,1.6041496864907694,1.3721089794770194,0.0,1.1098725424501623,1.3336703079775336,1.0875476078502522,1.1341427544235558,1.179254055080902,1.1408434677760937,1.1847968949939671,1.2011310345347457,1.2463954897044915,1.0819020413966771,1.1075227026731398,1.1131616806905462,1.2324932771961843,1.201102131057984,1.1366968717170851,1.1947446593325746,1.2329315727365242,1.288065284228008,1.2492732336687329,1.2139744642214674,1.2483943316382686,1.1004678174112796,1.24094671938446,1.2357443413906437,1.1129850637067409,1.121383539522938,1.1742664950162691,1.112811912453905,1.1236852937184172,1.1067049153982855,1.0882251055210894,1.3197107784367643,1.1842023460197362,1.2625826486695764,1.1727656066141678,1.1034120236616098,1.1168126533707468,1.112803515168398,1.1051948365886082,1.118276213611215,1.1249420908489722
Dulces,1.0839173828476325,1.1373478433597568,1.1019061247239876,1.1127110519587566,0.0,1.0695695550892137,1.0457425806617342,1.0614863439785147,1.0641141858233492,1.0744959336626727,1.0628509249771765,1.071214809607418,1.076185546545505,1.0731256902455737,1.094205071299075,1.0678936818713751,1.077626138093909,1.0871645049666658,1.0622547482650022,1.1100527127940103,1.071956980394295,1.0782063276251903,1.0736366013941714,1.0662303745380208,1.075089293397626,1.07076970267005,1.0870588089758677,1.0747901114737215,1.0451832492669055,1.0459189570347085,1.0761228982708289,1.0538314909445916,1.0544099487918273,1.0405366452225375,1.045241415149411,1.080301195308761,1.0675437392710407,1.0707267721672604,1.0796755040843853,1.0464750587228921,1.0434792123233694,1.049701946730903,1.0396842374609272,1.0430508033840369,1.0447911076522844
Limpiadores del hogar,1.1833167260414623,1.3537524627909108,1.3031863485189044,1.3302089416988947,1.0640722528237472,0.0,1.1103624837332375,1.185960372544572,1.2583885330134563,1.1961286933378272,1.257938528571354,1.2865004675533216,1.37213146884619,1.0950745842260712,1.1431390209480443,1.131609698287513,1.3509347955327984,1.2867753224858056,1.186613030303386,1.277612959849592,1.3560347413992528,1.447227684083297,1.388163712220846,1.316570438778793,1.3753875183111537,1.1200505746948133,1.3931461259174416,1.3568167513663294,1.1398030064782445,1.1595852697613338,1.268154274466225,1.1418414817720821,1.1583555367681528,1.1186532129710045,1.1126231294729156,1.5281838958010967,1.2412553971903535,1.38295870591993,1.241314945216517,1.114988508880278,1.1338292134922916,1.134178188853411,1.1191673295523754,1.1397335054600597,1.1518652546267398
Quesos,1.044867009472588,1.1024284472642367,1.0697353368974925,1.0755694142719432,1.031586533208271,1.1009904846116079,0.0,1.2388289660836171,1.3046747890129593,1.2278802659913568,1.2529607069651885,1.2309507524879588,1.2360696445508554,1.1894963835715715,1.2017723972577588,1.2401880016056346,1.2822815914531631,1.2292704636936118,1.2267743172933807,1.2283585794470504,1.2704161581053863,1.2632103543120374,1.341150860699707,1.253537744900138,1.2596780002392496,1.2084089923011463,1.2511702152833015,1.2445543362260167,1.1990617275876734,1.2445533730849925,1.2888505087974735,1.203794887219239,1.1833333199721634,1.2035279934642538,2.3795410198964952,1.2284005191567384,1.2481893498958003,1.260130816352358,1.239824577118872,1.1602403178411307,1.1521021615447642,1.1794731355885415,1.1833462173469536,1.2031961620997556,1.1718115973041634
Yogurt,1.0751931442658766,1.1543086260478954,1.0950470840468585,1.1162901897724684,1.0421122534635554,1.1703295825500466,1.2329077159549051,0.0,1.6436027769845205,2.111024602867093,1.5938850055626368,1.451443334068593,1.54133152436914,1.2591679638134905,1.4152113391442511,1.325696036651722,1.5352590951801297,1.5958788188336697,1.5030921931357608,1.6181041957039188,1.6379786253726192,1.7084730355369644,1.6841464974904317,1.6579860242945588,1.5038728395838823,1.298002878412602,1.5804334329723015,1.5061115556460218,1.3142819729664958,1.3740473601702303,1.738945989065724,1.3194518014836505,1.3938596615884804,1.2321179906373982,1.3284856259218485,1.5850029248796047,1.4015124628056186,1.5690419152529915,1.9661170494818907,1.3179388181102043,1.323444765346512,1.4490946506072495,1.2955807925006593,1.34260766793172,1.3474680115666655
Mantequilla,1.106258416552154,1.2147181363252157,1.1583374560918869,1.1701920133348336,1.0532432630557351,1.2519676959498882,1.3090669409874112,1.6570561780114386,0.0,1.3672188419038662,1.3889790706406404,1.3882544907955634,1.4828324817098335,1.1595309771605695,1.2234823359620757,1.2077465999048156,1.6856968450587375,1.3878462101518048,1.309239156324167,1.4603188586166418,1.4821964972147859,1.5907550871550058,1.5415191410534677,1.4246659300852884,1.4477005619537189,1.1803150021493392,1.5255944594861277,1.5314308238544845,1.2152759353131275,1.2545470962656389,1.4758956813875792,1.2500115733056922,1.2750737701119434,1.1946159149401463,1.234069096022944,1.4475827524785712,1.3376397903325443,1.5273043391671541,1.3422958024672649,1.174375198034452,1.1880613763304595,1.2049804977281184,1.1743503332908365,1.2098210144614654,1.2248199706690202
Postres,1.0999542888191485,1.1763679322837328,1.1141016108618385,1.1409100336156062,1.0718174450242506,1.1993111396430576,1.241627127755334,2.1449108631973397,1.3778870641524663,0.0,1.1561367242935958,1.1082986061451916,1.1328694798016536,1.0816126039661962,1.118587436499711,1.089225928480581,1.1196867202324463,1.1719419071452049,1.1222965005351069,1.1405288175173365,1.1575053593045026,1.156307370708761,1.1589880285073668,1.1420474519488442,1.1275335001485736,1.081106892614463,1.1590331484611105,1.1248498316529223,1.0882723958590177,1.09832631074265,1.165777480642455,1.0925102061025715,1.1021993509700565,1.0679329392815708,1.0855269402194951,1.1479404135180766,1.1121853540001887,1.1350678107302232,1.166188148336536,1.080373425745904,1.0832492471235196,1.1000908828466938,1.075596411277863,1.0860774685095085,1.0915167237344892
