Nombre,Shampoo,Papel Higiénico,Servilletas,Toallas de papel,Dulces,Limpiadores del hogar,Quesos,Yogurt,Mantequilla,Postres,Verduras congeladas,Café,Té,Snacks chips,Galletas dulces,Galletas saladas,Harina,Frutas en conserva,Leche,Manjar y mermeladas,Pasta,Arroz,Salsas ,Mariscos y pescados en conserva,Especias,Semillas,Sopas,Sustitutos del azúcar,Carne de vacuno,Carne de aves,Jugos en polvo,Cecinas envasadas,Quesos envasados,Carne de cerdo,Cecinas,Jabon,Mayonesas y dressings,Aceites,Barras de cereal,"Paltas, uvas y fruta seca","Naranjas, limones y sandias","Manzanas, duraznos y peras",Tomates y cebollas,Lechugas y champiñones,Papas y zapallos
Shampoo,164.53056625717815,23.91008530344081,24.69295271289076,23.599442760404262,13.579801357746707,26.970434848508873,10.058002632522397,15.132456107889618,18.13923226044058,16.151406685930112,18.478870639233048,19.56539840801613,23.768485764416646,9.599507520936047,12.564868749287724,11.346935603943324,21.25598297246945,20.54489238027439,14.585219636843787,19.530515070974506,23.99071441300251,27.07512707529729,25.894768185640906,22.03418546421455,22.875345767208966,9.897273496425251,25.00122363953061,22.94045329117397,11.42480173965437,13.031569622839658,21.13602879869121,12.295376659048207,12.47202741667676,10.755390827062595,9.940748550086765,47.06823794192693,18.499788205657342,23.806823194069015,19.376057182373735,9.105444236467001,9.543086220258985,10.118856100744337,8.941878600933595,10.193184030415543,10.878352650941377
Papel Higiénico,23.91008530344081,97.43218113727349,32.278961797639454,37.185497359814335,12.24112090929575,26.22723569189987,10.73244169051971,15.024919738722641,18.482155945892337,15.272224836085314,18.84290472699901,19.447752856357674,22.9778874951393,9.850729486016752,12.121263959726974,11.744779869433962,20.085061444996462,18.593093154432005,14.964242866598909,19.620815029891038,23.024144287880574,25.676686372807158,24.1768483480907,20.935024315697998,21.182138532398067,11.111700134215319,21.728108966402488,21.903389315544292,12.6390020436862,13.726345351546161,19.562611552735568,12.68729646029103,13.698597624136555,11.020591432405766,10.795594402615396,28.81169632083228,16.795827970175665,23.24291576746638,17.815770584325566,12.272012418113288,13.158271072822108,12.978109858814125,11.906312324938432,12.782890505237177,13.996847109011936
Servilletas,24.69295271289076,32.278961797639454,147.12037699057527,40.764906032864644,14.346346513421295,35.43063181204143,12.204747001054411,15.953241588089595,22.105098419182,16.127108439587914,22.34523159567827,23.684722576479643,29.379242981548067,11.231879815763225,13.546321560650425,15.55707805922611,28.068209707957816,23.983557489687428,16.659925501277947,23.619511942079026,27.372181605622067,31.82419806386768,30.174530031010647,24.684849437615195,28.798903472205954,14.611583065482332,28.848867909129343,28.12965578793321,13.735155515597794,15.74067144297957,22.647633689187426,14.343324365508256,15.540774846033887,13.129063086581688,12.063241897520626,31.77262150056657,23.05676573757697,29.193151484713784,19.749828066932928,11.806595478422727,12.983368265550745,12.908327418371387,12.408988520140898,13.768028843380295,14.116877469972458
Toallas de papel,23.599442760404262,37.185497359814335,40.764906032864644,123.72619438067127,13.149358134465858,31.70480525131334,10.879461516016905,15.515659241249088,19.655155699992985,16.15123090219521,20.14203164424196,21.55066910319069,25.261304709280942,10.29060623607514,12.914746376529438,13.476087402017045,24.1506456524358,21.548210338158103,15.758804450863476,21.004501153575912,24.186043820427905,28.446711358018216,25.488121977357203,22.63165079867207,25.418959823127576,12.20435572357166,24.828963368572307,24.41261448390923,13.458592071671847,14.284428869397766,19.213126093756603,13.44143465874942,14.508609113042883,12.832863490834196,10.9497166482405,30.731428871486003,20.09002544960085,26.5236908376424,19.079371785841047,12.501926610404105,13.836506069690053,13.440602442997172,12.681344805107964,13.980325795703928,14.630628147522174
Dulces,13.579801357746707,12.24112090929575,14.346346513421295,13.149358134465858,180.32560548119824,12.664133978075116,8.844010682100514,11.387393041201053,11.804587840176337,13.432832913949303,11.604290697519527,12.921641427603793,13.694854811089952,13.219732319069907,16.438953714635698,12.401018487717453,13.917610034477699,15.377610341588115,11.509598045982127,18.778677651226594,13.037543776299026,14.007155211876533,13.299252944096873,12.139058029952636,13.524943822228494,12.852053480207289,15.361572256405836,13.478512670386912,8.752242047582426,8.872928125004746,13.685154126294346,10.160254547851695,10.253608639102264,7.9860667397768035,8.761789809423776,14.329671884230239,12.34597253084386,12.845338673051733,14.233474278059914,8.964038871053226,8.472056926149444,9.490821341115696,7.844770416179247,8.401472064685214,8.687845389465746
Limpiadores del hogar,26.970434848508873,26.22723569189987,35.43063181204143,31.70480525131334,12.664133978075116,93.83719580448572,10.227386247204537,15.5570121206952,20.062528149044688,16.222473975999847,20.036136614477996,21.6746135544813,26.178084478548797,9.060143043191726,12.624680000858744,11.797252222367208,25.116487661150465,21.690027466549395,15.600067580173477,21.17262623451592,25.374941136371746,29.68889569558429,26.95949615913147,23.32277965930901,26.33825854607503,10.950585233546443,27.198675926788912,25.414399792424675,12.38698442863276,13.77650667241915,20.63064856198911,12.53239361740195,13.691512672082059,10.847047715676648,10.397266015801929,33.08718001151135,19.044211206289763,26.707790271924015,19.047799155199,10.57427868463393,11.957848633195994,11.983042094883178,10.88517124742767,12.382017589810445,13.239925045963314
Quesos,10.058002632522397,10.73244169051971,12.204747001054411,10.879461516016905,8.844010682100514,10.227386247204537,52.61138487285574,10.949955986495548,13.052572740138825,10.578471483547276,11.419841845250106,10.683318483083092,10.856953720548368,9.22211056679368,9.665328705627912,10.995609840331626,12.361735172771974,10.62600704332744,10.540578412931325,10.594838779215255,11.985811478208818,11.754068673160686,14.128477106663814,11.438803446544311,11.639497721493859,9.901188903051402,11.360894537958027,11.141612625416577,9.568242317809927,11.14158053258731,12.566876591588647,9.737482166658165,8.996129558258632,9.727974471825744,30.921746223507853,10.5962732964739,11.262382113647542,11.654220582363422,10.983411185811029,8.128027348365054,7.813808238111767,8.853385376663459,8.99660492403588,9.716147588532774,8.56728683560177
Yogurt,15.132456107889618,15.024919738722641,15.953241588089595,15.515659241249088,11.387393041201053,15.5570121206952,10.949955986495548,42.200932227090526,17.13348113487412,22.683901411280328,16.35155659252477,13.814751891962526,15.470192230090936,9.4801726373133,13.088013832864073,11.122215018920603,15.364463805285485,16.383851543482123,14.79015036338004,16.738460566440132,17.047409715331344,18.085285465278282,17.73694866717779,17.350944577393218,14.804379046110995,10.459144198486632,16.131544318987086,14.845101862042924,10.852307598164847,12.21584334195475,18.507883399722182,10.97513664989524,12.642050969176207,8.761819625726353,11.187474931682589,16.2067011879143,12.803453916685484,15.942276020033557,21.245449318304523,10.939289682735813,11.069347966146276,13.76874375008173,10.399802984068373,11.513685899531307,11.62437540093828
Mantequilla,18.13923226044058,18.482155945892337,22.105098419182,19.655155699992985,11.804587840176337,20.062528149044688,13.052572740138825,17.13348113487412,63.674768616198286,17.83370301990864,18.55186508152462,18.52831381864786,21.407844071944385,9.62294089385948,12.448227150101438,11.780796303514654,26.494436458659948,18.51503250297085,15.80363039561176,20.7562181596425,21.389708076673838,24.27538581850483,23.016974011476982,19.68216144235632,20.382135965965247,10.574733030724651,22.592573917281186,22.749140347563138,12.102309395198793,13.716685095252902,21.209186931404727,13.535417945665673,14.520931336104413,11.210400920796811,12.887686419438515,20.37861265628118,16.820025606036328,22.63856711468541,16.98255032795197,10.306161444404431,10.920954827738509,11.661670699372346,10.30503146070465,11.869776086706574,12.504172024795446
Postres,16.151406685930112,15.272224836085314,16.127108439587914,16.15123090219521,13.432832913949303,16.222473975999847,10.578471483547276,22.683901411280328,17.83370301990864,124.61856521499752,17.694736382790012,13.079522821937815,15.498699759145484,10.327584542530252,14.105465227190313,11.126440227264604,14.21396455193493,19.13674528748379,14.470698625324767,16.231505356145266,17.821163180267565,17.710516069530886,17.95778686838859,16.375632748357102,14.982297025441765,10.274122441121346,17.961939061439868,14.720726644541461,11.026999642464194,12.066799855383262,18.57897595575753,11.467617494339384,12.462297742874966,8.863576612286868,10.739710038909802,16.931298733851982,13.4693176814101,15.710036538221841,18.616317300432065,10.19649385606007,10.50026276220876,12.247335580668544,9.68831450122621,10.797434771469412,11.364629176297226
