Nombre,Shampoo,Papel Higiénico,Servilletas,Toallas de papel,Dulces,Limpiadores del hogar,Quesos,Yogurt,Mantequilla,Postres,Verduras congeladas,Café,Té,Snacks chips,Galletas dulces,Galletas saladas,Harina,Frutas en conserva,Leche,Manjar y mermeladas,Pasta,Arroz,Salsas ,Mariscos y pescados en conserva,Especias,Semillas,Sopas,Sustitutos del azúcar,Carne de vacuno,Carne de aves,Jugos en polvo,Cecinas envasadas,Quesos envasados,Carne de cerdo,Cecinas,Jabon,Mayonesas y dressings,Aceites,Barras de cereal,"Paltas, uvas y fruta seca","Naranjas, limones y sandias","Manzanas, duraznos y peras",Tomates y cebollas,Lechugas y champiñones,Papas y zapallos
Shampoo,13757.0,3376.0,2309.0,2624.0,1036.0,3954.0,2630.0,4933.0,3919.0,1783.0,2316.0,1857.0,3034.0,2538.0,4847.0,1412.0,1699.0,1558.0,6218.0,1532.0,4207.0,3593.0,2962.0,3567.0,2395.0,1066.0,2021.0,3423.0,3405.0,3258.0,1906.0,4097.0,4282.0,1079.0,3335.0,4068.0,2943.0,4093.0,3445.0,1022.0,1279.0,1990.0,2165.0,2464.0,1806.0
Papel Higiénico,0.0,23231.0,5097.0,6982.0,1577.0,6493.0,4739.0,8271.0,6743.0,2847.0,3988.0,3117.0,4953.0,4398.0,7896.0,2468.0,2711.0,2381.0,10773.0,2599.0,6818.0,5754.0,4670.0,5723.0,3745.0,2021.0,2966.0,5519.0,6361.0,5795.0,2979.0,7139.0,7942.0,1867.0,6116.0,4205.0,4512.0,6748.0,5349.0,2326.0,2978.0,4310.0,4868.0,5218.0,3924.0
Servilletas,0.0,0.0,15385.0,5069.0,1224.0,5809.0,3569.0,5816.0,5341.0,1991.0,3132.0,2514.0,4194.0,3321.0,5844.0,2165.0,2509.0,2034.0,7943.0,2072.0,5368.0,4723.0,3860.0,4469.0,3372.0,1760.0,2608.0,4694.0,4578.0,4401.0,2284.0,5345.0,5967.0,1473.0,4526.0,3071.0,4102.0,5613.0,3927.0,1482.0,1946.0,2839.0,3360.0,3722.0,2621.0
Toallas de papel,0.0,0.0,0.0,18294.0,1334.0,6181.0,3783.0,6726.0,5647.0,2371.0,3357.0,2720.0,4288.0,3618.0,6625.0,2230.0,2567.0,2173.0,8934.0,2191.0,5640.0,5020.0,3877.0,4872.0,3539.0,1748.0,2669.0,4844.0,5334.0,4749.0,2304.0,5956.0,6624.0,1712.0,4885.0,3532.0,4250.0,6064.0,4511.0,1866.0,2466.0,3515.0,4083.0,4494.0,3230.0
Dulces,0.0,0.0,0.0,0.0,12552.0,1694.0,2110.0,3387.0,2327.0,1353.0,1327.0,1119.0,1595.0,3189.0,5786.0,1408.0,1015.0,1064.0,4477.0,1344.0,2086.0,1696.0,1388.0,1793.0,1292.0,1263.0,1133.0,1835.0,2380.0,2024.0,1126.0,3089.0,3212.0,731.0,2682.0,1130.0,1792.0,2015.0,2309.0,918.0,1036.0,1703.0,1733.0,1853.0,1316.0
Limpiadores del hogar,0.0,0.0,0.0,0.0,0.0,24121.0,4689.0,8892.0,7600.0,3140.0,4403.0,3607.0,5859.0,4200.0,8539.0,2574.0,3520.0,2884.0,11661.0,2912.0,7802.0,6908.0,5407.0,6620.0,4835.0,2068.0,3855.0,6649.0,6473.0,6039.0,3262.0,7322.0,8242.0,1908.0,6116.0,5014.0,5312.0,8051.0,5938.0,2081.0,2810.0,4132.0,4621.0,5248.0,3854.0
Quesos,0.0,0.0,0.0,0.0,0.0,0.0,43022.0,11163.0,8819.0,3652.0,4476.0,3171.0,4334.0,7625.0,11660.0,4279.0,3090.0,2520.0,14053.0,2599.0,6573.0,4878.0,5054.0,5791.0,3811.0,3335.0,2872.0,5199.0,8918.0,8711.0,3544.0,10147.0,9659.0,3052.0,32442.0,2864.0,5603.0,6266.0,6107.0,2853.0,3275.0,5445.0,6812.0,7345.0,4448.0
Yogurt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53635.0,14432.0,9763.0,7990.0,5112.0,7699.0,9772.0,19684.0,5396.0,4788.0,4844.0,24583.0,5119.0,11655.0,9357.0,7910.0,10951.0,6043.0,4392.0,5084.0,8636.0,12610.0,11907.0,6507.0,14258.0,16922.0,3427.0,14633.0,5461.0,7941.0,10686.0,14727.0,4787.0,5784.0,10557.0,9817.0,10851.0,7524.0
Mantequilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35547.0,5087.0,6008.0,4544.0,7061.0,6574.0,12408.0,3788.0,5472.0,3628.0,17409.0,4207.0,9692.0,8324.0,6803.0,8233.0,5514.0,2943.0,4719.0,8771.0,9320.0,8861.0,4942.0,11654.0,12882.0,2906.0,11172.0,4551.0,6914.0,10057.0,7802.0,2989.0,3782.0,5926.0,6447.0,7414.0,5364.0
Postres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18163.0,2928.0,1639.0,2612.0,3605.0,7184.0,1828.0,1500.0,1916.0,8145.0,1681.0,4126.0,3103.0,2712.0,3500.0,2071.0,1461.0,1917.0,2900.0,4339.0,3983.0,2212.0,5045.0,5649.0,1174.0,4757.0,1932.0,2829.0,3566.0,4370.0,1511.0,1858.0,3180.0,3097.0,3446.0,2491.0
Verduras congeladas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20621.0,2412.0,3645.0,4176.0,6720.0,2609.0,2455.0,2509.0,9139.0,2200.0,5900.0,5187.0,4290.0,5152.0,3511.0,2007.0,3155.0,4173.0,7510.0,7035.0,2774.0,7026.0,7393.0,2199.0,5537.0,2764.0,4599.0,5650.0,4733.0,2358.0,2924.0,4162.0,5974.0,6504.0,4655.0
