Segment,Department,Category
X,1,183
X,54,89
Z,23,237
X,55,179
X,35,170
Z,10,344
Z,4,254
Z,8,379
X,12,38
Z,6,366
Z,29,300
Y,57,442
Z,43,282
Z,40,447
X,55,212
Z,28,287
Z,9,317
Z,33,414
X,36,195
X,1,181
Z,13,41
Z,10,164
Z,19,53
Z,8,388
Z,44,484
Z,45,322
Z,4,423
Z,10,324
Z,44,479
X,3,15
X,12,188
Z,37,495
X,1,2
Y,60,393
Z,5,424
X,41,204
Z,15,357
Z,10,329
X,7,35
Z,6,32
Z,25,61
Z,25,64
Z,6,369
X,58,120
Z,11,346
Z,21,272
Z,22,141
Z,11,348
Z,44,516
Z,25,276
X,1,448
X,3,16
Z,25,67
X,1,5
Z,49,336
X,3,14
Z,15,363
Z,25,66
Z,4,253
X,1,1
Z,43,508
Z,44,514
Z,34,245
X,55,113
Z,10,163
Z,2,248
Z,43,243
Z,52,377
Y,60,436
Z,16,210
Z,49,427
Z,30,298
X,54,87
Z,52,428
X,59,216
Z,23,240
Z,8,365
Z,49,353
Z,5,425
Z,49,328
Z,52,376
X,55,107
Z,25,69
Z,29,501
Z,13,201
Z,4,257
Z,5,351
Z,18,51
Z,46,486
Y,60,392
X,54,88
Z,25,70
Z,18,172
Z,8,378
Y,60,127
Z,22,226
Z,6,30
Z,23,232
X,55,108
Z,34,244
Z,2,28
Z,19,52
Z,43,430
Z,33,518
Z,44,480
X,59,217
Z,6,29
Y,50,292
Z,33,419
Z,33,418
X,55,98
Z,49,426
Z,25,278
Z,49,334
Y,50,455
X,53,445
Z,37,467
Z,20,269
Z,10,343
Z,9,311
Z,10,340
Z,28,289
Z,17,48
X,36,496
X,7,34
Z,32,400
X,1,4
Z,29,509
X,1,10
Z,33,407
X,55,101
X,1,12
Z,23,234
Z,21,54
Z,25,65
Z,34,246
Z,33,435
X,12,39
Y,60,308
X,35,136
Z,22,55
Z,28,288
Z,14,320
Z,31,305
Z,33,417
Z,2,247
Z,16,47
Z,31,302
Y,47,290
Z,30,294
X,55,92
Z,32,399
Z,43,281
Z,6,358
X,1,0
X,55,112
Y,48,453
X,12,185
Z,49,77
Z,6,394
Z,21,152
Y,60,128
X,59,215
X,0,446
X,3,18
Z,11,389
Z,13,40
Y,39,286
Z,32,398
Z,23,231
Z,6,356
Y,61,130
Z,13,43
X,3,449
X,12,190
X,55,106
Z,32,402
Z,25,145
Y,39,285
Z,32,142
Z,6,361
X,55,95
Z,8,382
Z,10,160
X,35,168
Z,17,385
Z,15,46
X,36,197
X,35,132
Z,14,318
Z,10,338
Z,30,297
X,35,192
Z,49,345
Z,15,360
Z,5,267
Y,39,284
Z,26,283
Z,52,374
Z,6,139
Z,28,499
Z,9,157
Z,24,57
Z,4,261
X,54,208
Z,8,373
Z,37,494
X,36,511
Z,10,331
Z,32,403
X,35,171
Z,16,211
X,59,306
Z,2,268
X,1,8
Z,49,178
Z,22,225
X,12,37
X,36,198
Z,33,412
X,36,21
X,1,13
Z,26,500
Z,30,293
Y,60,439
Z,8,381
Z,17,384
Z,11,350
Z,15,371
Z,4,134
X,53,83
X,41,203
Z,16,207
X,12,510
Z,24,59
Y,51,295
X,53,81
Z,9,313
Z,22,228
Y,51,456
Z,15,359
Z,25,62
Z,15,362
Z,40,312
Z,13,44
Z,9,316
Z,22,223
Y,50,79
Z,49,326
Z,13,42
Z,52,429
X,7,33
Z,46,489
Z,8,370
X,3,19
Z,21,273
X,3,17
Z,10,327
Z,2,25
Z,44,517
X,54,444
Z,32,140
Z,10,337
Z,33,413
Z,30,72
Z,44,515
Z,4,260
Z,16,206
Z,19,265
Y,61,129
Z,43,280
X,55,91
Z,14,321
Z,22,176
Z,17,383
Z,32,406
Y,60,126
Z,10,325
Z,22,227
Z,2,26
X,7,36
Z,29,503
Z,9,314
X,54,137
X,0,22
Z,37,468
Z,4,255
Z,8,380
